T,k1,k2,k4,k6,k12
8.000000000000000444e-01,2.344568645895606096e-01,1.447098474827157866e-01,1.365291719679362359e-01,1.375286164062572425e-01,1.375957525695525874e-01
8.050000000000000488e-01,2.383058779920066705e-01,1.483817114567021200e-01,1.394336849191990801e-01,1.404543824978788102e-01,1.405229472828395387e-01
8.100000000000000533e-01,2.421342196745612796e-01,1.521061240961074923e-01,1.423612020667875122e-01,1.434033194191997318e-01,1.434733235616825475e-01
8.150000000000000577e-01,2.459404078014593431e-01,1.558828587278071609e-01,1.453114336047445221e-01,1.463751337404950725e-01,1.464465886669153172e-01
8.200000000000000622e-01,2.497229963660530239e-01,1.597116437235257813e-01,1.482840922983897081e-01,1.493695356158397936e-01,1.494424518222459419e-01
8.250000000000000666e-01,2.534805746801094828e-01,1.635921685116948077e-01,1.512788963098366246e-01,1.523862412755594697e-01,1.524606303204834312e-01
8.300000000000000711e-01,2.572117691856946053e-01,1.675240721499271779e-01,1.542955616118391327e-01,1.554249634350135800e-01,1.555008364917398744e-01
8.350000000000000755e-01,2.609152424992711716e-01,1.715069561702975698e-01,1.573338185889561480e-01,1.584854278569025887e-01,1.585627947775503088e-01
8.400000000000000799e-01,2.645896966591010924e-01,1.755403747960571359e-01,1.603933911820121516e-01,1.615673584254296025e-01,1.616462293885234935e-01
8.450000000000000844e-01,2.682338685588980809e-01,1.796238327123056699e-01,1.634740146683189288e-01,1.646704841828939003e-01,1.647508698898736690e-01
8.500000000000000888e-01,2.718465364925926053e-01,1.837567903395509739e-01,1.665754261415131054e-01,1.677945384970236653e-01,1.678764498080909384e-01
8.550000000000000933e-01,2.754265154947255767e-01,1.879386590752929742e-01,1.696973654596867220e-01,1.709392597071257847e-01,1.710227057472036016e-01
8.600000000000000977e-01,2.789726602969722080e-01,1.921688007877620230e-01,1.728395806122051959e-01,1.741043896830163640e-01,1.741893804751981911e-01
8.650000000000001021e-01,2.824838637349725290e-01,1.964465305881458179e-01,1.760018225105408896e-01,1.772896742446850304e-01,1.773762203483020550e-01
8.700000000000001066e-01,2.859590593051742347e-01,2.007711108431564917e-01,1.791838461540074257e-01,1.804948649408722183e-01,1.805829759193855744e-01
8.750000000000001110e-01,2.893972185225024973e-01,2.051417564707947172e-01,1.823854149374249112e-01,1.837197173837346320e-01,1.838094019768199694e-01
8.800000000000001155e-01,2.927973520527871742e-01,2.095576308747127414e-01,1.856062925931212526e-01,1.869639914708898509e-01,1.870552601168640472e-01
8.850000000000001199e-01,2.961585108451903481e-01,2.140178462850528540e-01,1.888462519428202591e-01,1.902274512144419838e-01,1.903203127495701197e-01
8.900000000000001243e-01,2.994797848931974316e-01,2.185214643368738330e-01,1.921050710973482289e-01,1.935098673233604238e-01,1.936043313177649161e-01
8.950000000000001288e-01,3.027603027105918998e-01,2.230674972913960219e-01,1.953825317024815988e-01,1.968110133077072832e-01,1.969070886920221419e-01
9.000000000000001332e-01,3.059992321530203285e-01,2.276549033286557333e-01,1.986784239127459550e-01,2.001306680377013258e-01,2.002283640889502003e-01
9.050000000000001377e-01,3.091957802281442569e-01,2.322825923573024476e-01,2.019925414775692041e-01,2.034686167751154628e-01,2.035679425227421846e-01
9.100000000000001421e-01,3.123491922596422499e-01,2.369494251741600110e-01,2.053246889799354158e-01,2.068246494024706117e-01,2.069256132197772602e-01
9.150000000000001465e-01,3.154587511944307310e-01,2.416542085537099760e-01,2.086746704133002894e-01,2.101985585856170069e-01,2.103011691922951898e-01
