T,p1,p2,p5,p10
1.800000000000000044e+00,5.017045986654977696e-01,5.103554075347461749e-01,5.230153398372294760e-01,5.096275513594150652e-01
1.810000000000000053e+00,5.068082455306212042e-01,5.166129266376273677e-01,5.316981573866286226e-01,5.202311714347375160e-01
1.820000000000000062e+00,5.119333796699265804e-01,5.229142177842760475e-01,5.404488062854539976e-01,5.310058109131432502e-01
1.830000000000000071e+00,5.170804900522797398e-01,5.292611305085515028e-01,5.492664039863371928e-01,5.419539605222568612e-01
1.840000000000000080e+00,5.222501178536732569e-01,5.356556629365627487e-01,5.581501395468535520e-01,5.530780873641562012e-01
1.850000000000000089e+00,5.274429388801848972e-01,5.420999212413236679e-01,5.670992999640134258e-01,5.643806163746489801e-01
1.860000000000000098e+00,5.326597106858343977e-01,5.485961578077791501e-01,5.761133030635079422e-01,5.758639021369305055e-01
1.870000000000000107e+00,5.379013507500475244e-01,5.551467491171635515e-01,5.851917836663390604e-01,5.875302313995690584e-01
1.880000000000000115e+00,5.431689010571005838e-01,5.617541945390770453e-01,5.943346130976580044e-01,5.993817739913254172e-01
1.890000000000000124e+00,5.484635678021377858e-01,5.684211150169816706e-01,6.035420038941198273e-01,6.114205641383209100e-01
1.900000000000000133e+00,5.537866821114790783e-01,5.751502389905738255e-01,6.128145703776511910e-01,6.236484753951998528e-01
1.910000000000000142e+00,5.591397569482126073e-01,5.819444022314712583e-01,6.221534247830007303e-01,6.360671499550107910e-01
1.920000000000000151e+00,5.645244408469807240e-01,5.888065211934190302e-01,6.315602837503321298e-01,6.486780068826193402e-01
1.930000000000000160e+00,5.699425112171142560e-01,5.957395826250434512e-01,6.410375837484495465e-01,6.614821290940043896e-01
1.940000000000000169e+00,5.753958794141312838e-01,6.027466380054137263e-01,6.505886047847299070e-01,6.744802762348457437e-01
1.950000000000000178e+00,5.808865751077975093e-01,6.098307709478946181e-01,6.602176060521715018e-01,6.876728038340830240e-01
1.960000000000000187e+00,5.864166970148688707e-01,6.169951140755359775e-01,6.699300034185285968e-01,7.010596202583486702e-01
1.970000000000000195e+00,5.919883716831720877e-01,6.242427806935070267e-01,6.797325175122993501e-01,7.146401645252710155e-01
1.980000000000000204e+00,5.976037980470750854e-01,6.315769350706545993e-01,6.896333606576378061e-01,7.284133855289810500e-01
1.990000000000000213e+00,6.032651537113410400e-01,6.390007376477769840e-01,6.996424497618393135e-01,7.423777554382838817e-01
2.000000000000000000e+00,6.089746245052651830e-01,6.465174342551449627e-01,7.097716272497223144e-01,7.565313406843188204e-01
2.010000000000000231e+00,6.147343921236726461e-01,6.541303587859205182e-01,7.200348776414956520e-01,7.708719155674615964e-01
2.020000000000000462e+00,6.205466519215719901e-01,6.618430283200640307e-01,7.304486076087359780e-01,7.853971826765617781e-01
2.030000000000000249e+00,6.264136790479214456e-01,6.696592644850342113e-01,7.410319139999900218e-01,8.001050829609114290e-01
2.040000000000000036e+00,6.323379146699892317e-01,6.775833328021008128e-01,7.518068654555065677e-01,8.149942698842949085e-01
2.050000000000000266e+00,6.383220911176935575e-01,6.856201332894330536e-01,7.627988661385034508e-01,8.300647575287812829e-01
2.060000000000000497e+00,6.443694218916109495e-01,6.937754558311584052e-01,7.740369376652014299e-01,8.453187865420377367e-01
2.070000000000000284e+00,6.504838043808193193e-01,7.020562664816766274e-01,7.855541376988741664e-01,8.607619808920220494e-01
2.080000000000000071e+00,6.566700771060141051e-01,7.104710559957538862e-01,7.973878877720609326e-01,8.764048062914753245e-01
2.090000000000000302e+00,6.629342301112118863e-01,7.190302227177981509e-01,8.095803990748607903e-01,8.922644461062391175e-01
2.100000000000000533e+00,6.692836413080274216e-01,7.277465839283794313e-01,8.221790164686384461e-01,9.083671661525019037e-01
2.110000000000000320e+00,6.757271698543122485e-01,7.366358902860526969e-01,8.352366350994345767e-01,9.247512373411483910e-01
2.120000000000000107e+00,6.822751053903175489e-01,7.457174447011994944e-01,8.488120402105892026e-01,9.414706218180414199e-01
