T,p1,p2,p5,p10
1.600000000000000089e+00,4.594540058633356794e-01,4.604310333888861906e-01,4.650152540364161369e-01,4.564615281310580031e-01
1.604999999999999982e+00,4.628019180152875833e-01,4.640722843873845704e-01,4.691607235507433415e-01,4.616119869682577814e-01
1.609999999999999876e+00,4.661862640409352720e-01,4.677605993608224821e-01,4.733280210045264780e-01,4.668117724726528195e-01
1.614999999999999769e+00,4.696086666355902550e-01,4.714982476317075011e-01,4.775182384464393137e-01,4.720614156350499413e-01
1.619999999999999662e+00,4.730708743938549232e-01,4.752875803326616633e-01,4.817326391393094154e-01,4.773614394970592256e-01
1.624999999999999556e+00,4.765747526613849372e-01,4.791310457274987611e-01,4.859726982497923897e-01,4.827123770145823611e-01
1.629999999999999449e+00,4.801223176187362496e-01,4.830311758441395709e-01,4.902401420725509551e-01,4.881147422031161254e-01
1.634999999999999343e+00,4.837157106996057832e-01,4.869905975279917865e-01,4.945369523423612801e-01,4.935690530283308175e-01
1.639999999999999236e+00,4.873572322239281829e-01,4.910120262024972870e-01,4.988654222692898155e-01,4.990758328737852634e-01
1.644999999999999130e+00,4.910493295939841740e-01,4.950982792206735095e-01,5.032281879646658407e-01,5.046356032689656157e-01
1.649999999999999023e+00,4.947946138145195571e-01,4.992522586677591301e-01,5.076282786786732171e-01,5.102488933372837376e-01
1.654999999999998916e+00,4.985958755443494761e-01,5.034769757239484500e-01,5.120691487547898157e-01,5.159162457424312231e-01
1.659999999999998810e+00,5.024560667532537162e-01,5.077755194271557082e-01,5.165547439744950786e-01,5.216382190553754405e-01
1.664999999999998703e+00,5.063783345038426198e-01,5.121511017480703254e-01,5.210895527274491679e-01,5.274154108647618466e-01
1.669999999999998597e+00,5.103660182248499488e-01,5.166070315265609558e-01,5.256786646556927955e-01,5.332484664677391573e-01
1.674999999999998490e+00,5.144226662312507692e-01,5.211467236199136543e-01,5.303278503010483425e-01,5.391380810126905621e-01
1.679999999999998384e+00,5.185520510053716059e-01,5.257737395325530194e-01,5.350436114426310175e-01,5.450850673227586318e-01
1.684999999999998277e+00,5.227581936839693633e-01,5.304917509296730449e-01,5.398332897854624113e-01,5.510903590688615017e-01
1.689999999999998170e+00,5.270453776740063878e-01,5.353046112954723545e-01,5.447051323770318865e-01,5.571550710081746294e-01
1.694999999999998064e+00,5.314182128879345601e-01,5.402163430323619897e-01,5.496683911032633763e-01,5.632805587563176619e-01
1.699999999999997957e+00,5.358816512313063773e-01,5.452311929943214341e-01,5.547334312794299782e-01,5.694685075052767775e-01
1.704999999999997851e+00,5.404410711928868682e-01,5.503536692796899832e-01,5.599118388910355737e-01,5.757210373902303946e-01
1.709999999999997744e+00,5.451023547342608300e-01,5.555886097585720496e-01,5.652165211067476935e-01,5.820408242973578172e-01
1.714999999999997637e+00,5.498719867569327180e-01,5.609412586005106949e-01,5.706618623446672034e-01,5.884313125537047329e-01
1.719999999999997531e+00,5.547571836927992495e-01,5.664173585806501210e-01,5.762638499184894458e-01,5.948968998836781097e-01
1.724999999999997424e+00,5.597660364564652768e-01,5.720232763128932918e-01,5.820402084300004830e-01,6.014432433754094420e-01
1.729999999999997318e+00,5.649077463720777459e-01,5.777661656569668125e-01,5.880105853028885221e-01,6.080776051087246614e-01
1.734999999999997211e+00,5.701927733015024202e-01,5.836541307346889695e-01,5.941966929112743045e-01,6.148092959312725370e-01
1.739999999999997105e+00,5.756331452566589846e-01,5.896964935825356191e-01,6.006225168686530891e-01,6.216502231115573762e-01
1.744999999999996998e+00,5.812427095164264257e-01,5.959040522518489480e-01,6.073145041995954285e-01,6.286155794588121903e-01
1.749999999999996891e+00,5.870374444327798313e-01,6.022894301072047041e-01,6.143017658999373465e-01,6.357246586929921062e-01
1.754999999999996785e+00,5.930357847394586157e-01,6.088674892268376437e-01,6.216163229555415892e-01,6.430018773029277934e-01
1.759999999999996678e+00,5.992589730396946646e-01,6.156558247027975606e-01,6.292933442608715788e-01,6.504780036209455440e-01
1.764999999999996572e+00,6.057314065399653780e-01,6.226753554261487134e-01,6.373713926643974625e-01,6.581916206371817291e-01
1.769999999999996465e+00,6.124811014496233108e-01,6.299510351226432769e-01,6.458927311125949311e-01,6.661909109029183762e-01
1.774999999999996358e+00,6.195403214115368096e-01,6.375126984425869558e-01,6.549036135505823530e-01,6.745357631232614670e-01
1.779999999999996252e+00,6.269465524955095681e-01,6.453960650976129365e-01,6.644545886480542896e-01,6.833002370498760802e-01
1.784999999999996145e+00,6.347442673604306584e-01,6.536439191573415464e-01,6.746008601199434684e-01,6.925755381259598442e-01
1.789999999999996039e+00,6.429879412950242346e-01,6.623074753742116405e-01,6.854026506131190022e-01,7.024734514970971677e-01
1.794999999999995932e+00,6.517470567013446958e-01,6.714479238745225675e-01,6.969255364452904278e-01,7.131304028828984176e-01
1.799999999999995826e+00,6.611137085776860323e-01,6.811381586757632167e-01,7.092409411768568761e-01,7.247122582043613592e-01
1.804999999999995719e+00,6.712130980623938203e-01,6.914646586708689258e-01,7.224265313032757208e-01,7.374200402265866927e-01
